Category,Min Marks,Max Marks,Rank range,Adjustment Factor
General,680,686,1 – 100,1.0
General,670,679,101 – 500,1.0
General,650,669,"501 – 2,000",1.0
General,630,649,"2,001 – 5,000",1.0
General,600,629,"5,001 – 10,000",1.0
General,570,599,"10,001 – 20,000",1.0
General,540,569,"20,001 – 35,000",1.0
General,500,539,"35,001 – 60,000",1.0
General,470,499,"60,001 – 85,000",1.0
General,430,469,"85,001 – 1,20,000",1.0
General,400,429,"1,20,001 – 1,60,000",1.0
EWS ,646,651,1 – 100,0.95
EWS ,636,645,101 – 500,0.95
EWS ,618,635,"501 – 2,000",0.95
EWS ,599,617,"2,001 – 5,000",0.95
EWS ,570,598,"5,001 – 10,000",0.95
EWS ,541,569,"10,001 – 20,000",0.95
EWS ,513,540,"20,001 – 35,000",0.95
EWS ,475,512,"35,001 – 60,000",0.95
EWS ,447,474,"60,001 – 85,000",0.95
EWS ,409,446,"85,001 – 1,20,000",0.95
EWS ,380,408,"1,20,001 – 1,60,000",0.95
OBC,612,617,1 – 100,0.90
OBC,603,611,101 – 500,0.90
OBC,585,602,"501 – 2,000",0.90
OBC,567,584,"2,001 – 5,000",0.90
OBC,540,566,"5,001 – 10,000",0.90
OBC,513,539,"10,001 – 20,000",0.90
OBC,486,512,"20,001 – 35,000",0.90
OBC,450,485,"35,001 – 60,000",0.90
OBC,423,449,"60,001 – 85,000",0.90
OBC,387,422,"85,001 – 1,20,000",0.90
OBC,360,386,"1,20,001 – 1,60,000",0.90
OBC-NCL,578,583,1 – 100,0.85
OBC-NCL,570,577,101 – 500,0.85
OBC-NCL,552,569,"501 – 2,000",0.85
OBC-NCL,535,551,"2,001 – 5,000",0.85
OBC-NCL,510,534,"5,001 – 10,000",0.85
OBC-NCL,484,509,"10,001 – 20,000",0.85
OBC-NCL,459,483,"20,001 – 35,000",0.85
OBC-NCL,425,458,"35,001 – 60,000",0.85
OBC-NCL,399,424,"60,001 – 85,000",0.85
OBC-NCL,366,398,"85,001 – 1,20,000",0.85
OBC-NCL,340,365,"1,20,001 – 1,60,000",0.85
SC,510,515,1 – 100,0.75
SC,503,510,101 – 500,0.75
SC,488,502,"501 – 2,000",0.75
SC,473,487,"2,001 – 5,000",0.75
SC,450,472,"5,001 – 10,000",0.75
SC,428,449,"10,001 – 20,000",0.75
SC,405,427,"20,001 – 35,000",0.75
SC,375,404,"35,001 – 60,000",0.75
SC,352,374,"60,001 – 85,000",0.75
SC,324,351,"85,001 – 1,20,000",0.75
SC,300,323,"1,20,001 – 1,60,000",0.75
ST,476,481,1 – 100,0.70
ST,469,475,101 – 500,0.70
ST,455,468,"501 – 2,000",0.70
ST,441,454,"2,001 – 5,000",0.70
ST,420,440,"5,001 – 10,000",0.70
ST,399,419,"10,001 – 20,000",0.70
ST,378,398,"20,001 – 35,000",0.70
ST,350,377,"35,001 – 60,000",0.70
ST,329,349,"60,001 – 85,000",0.70
ST,301,328,"85,001 – 1,20,000",0.70
ST,280,300,"1,20,001 – 1,60,000",0.70
