ID,Institute Name,State,Category,Rank Range,Course,Quota,Fee,Beds,Round,Type
1,"NRI Medical College, Guntur",Andhra Pradesh,General,501 - 1000,MBBS,AP Govt-AP UNR,"₹16,500",-,1,State
2,"Narayana Medical College, Nellore",Andhra Pradesh,General,501 - 1000,MBBS,AP Govt-AP UNR,"₹16,500",-,1,State
3,"Great Eastern Medical School,Srikakulam",Andhra Pradesh,General,501 - 1000,MBBS,AP Govt-AP UNR,"₹16,500",-,1,State
4,"PES IMS, Kuppam",Andhra Pradesh,General,501 - 1000,MBBS,AP Govt-AP UNR,-,-,1,State
5,"Alluri Sitaram Raju, Eluru",Andhra Pradesh,General,501 - 1000,MBBS,AP Govt-AP UNR,"₹16,500",-,1,State
6,"Dr PSI Medical College, Chinoutpalli",Andhra Pradesh,General,501 - 1000,MBBS,AP Govt-AP UNR,-,-,1,State
7,"Alluri Sitaram Raju, Eluru",Andhra Pradesh,General,1001 - 5000,MBBS,AP Govt-LOC(AU),"₹16,500",-,1,State
8,"Katuri Medical College, Guntur",Andhra Pradesh,General,1001 - 5000,MBBS,AP Govt-LOC(AU),"₹16,500",-,1,State
9,"GSL Medical College, Rajahmundry",Andhra Pradesh,General,1001 - 5000,MBBS,AP Govt-AP UNR,"₹16,500",-,1,State
10,"Narayana Medical College, Nellore",Andhra Pradesh,General,1001 - 5000,MBBS,AP Govt-AP UNR,"₹16,500",-,1,State
11,"Dr PSI Medical College, Chinoutpalli",Andhra Pradesh,General,1001 - 5000,MBBS,AP Govt-LOC(AU),"₹16,500",-,1,State
12,"Apollo IMS&R, Chittoor",Andhra Pradesh,General,1001 - 5000,MBBS,AP Govt-AP UNR,"₹16,500",-,1,State
13,"VMC, Kurnool",Andhra Pradesh,General,1001 - 5000,MBBS,AP Govt-AP UNR,"₹16,500",-,7,State
14,"PES IMS, Kuppam",Andhra Pradesh,General,1001 - 5000,MBBS,AP Govt-AP UNR,-,-,1,State
15,"Konaseema IMS, Amalapuram",Andhra Pradesh,General,1001 - 5000,MBBS,AP Govt-AP UNR,-,-,1,State
16,"Maharajah IMS, Vizianagaram",Andhra Pradesh,General,1001 - 5000,MBBS,AP Govt-AP UNR,"₹16,500",-,1,State
17,"NRI Inst of Medical Sciences, Vizag",Andhra Pradesh,General,1001 - 5000,MBBS,AP Govt-LOC(AU),"₹16,500",-,1,State
18,"GVP Medical College, Vizag",Andhra Pradesh,General,1001 - 5000,MBBS,AP Govt-AP UNR,"₹16,500",-,1,State
